"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"78",2017-03-19 18:55:00,2017-03-19 19:40:00,2017-03-19 19:15:00,2017-03-19 20:00:00,2017-03-19 19:45:00,2017-03-19 19:33:00,2017-03-19 19:55:00,2017-03-19 19:45:00
"79",2017-03-20 19:20:00,2017-03-20 21:00:00,2017-03-20 19:55:00,2017-03-20 21:00:00,2017-03-20 21:00:00,2017-03-20 20:23:00,2017-03-20 20:40:00,2017-03-20 19:55:00
"80",2017-03-21 20:05:00,2017-03-21 20:00:00,2017-03-21 20:55:00,2017-03-21 21:00:00,2017-03-21 20:05:00,2017-03-21 20:32:00,2017-03-21 20:40:00,2017-03-21 20:15:00
"81",2017-03-22 20:05:00,2017-03-22 20:15:00,2017-03-22 19:55:00,2017-03-22 20:10:00,2017-03-22 20:05:00,2017-03-22 20:13:00,2017-03-22 20:40:00,2017-03-22 20:10:00
"82",2017-03-23 19:35:00,2017-03-23 19:25:00,2017-03-23 20:55:00,2017-03-23 20:05:00,2017-03-23 20:05:00,2017-03-23 20:08:00,2017-03-23 20:40:00,2017-03-23 19:40:00
"83",2017-03-24 20:00:00,2017-03-24 12:40:00,2017-03-24 20:00:00,2017-03-24 19:25:00,2017-03-24 20:00:00,2017-03-24 18:37:00,2017-03-24 21:00:00,2017-03-24 20:15:00
"84",2017-03-25 21:00:00,2017-03-25 19:20:00,2017-03-25 19:55:00,2017-03-25 20:00:00,2017-03-25 19:55:00,2017-03-25 20:11:00,2017-03-25 20:40:00,2017-03-25 19:45:00
"85",2017-03-26 19:40:00,2017-03-26 19:25:00,2017-03-26 19:15:00,2017-03-26 20:00:00,2017-03-26 20:00:00,2017-03-26 19:48:00,2017-03-26 20:40:00,2017-03-26 19:55:00
"86",2017-03-27 21:00:00,2017-03-27 21:00:00,2017-03-27 19:55:00,2017-03-27 20:10:00,2017-03-27 21:00:00,2017-03-27 20:37:00,2017-03-27 21:00:00,2017-03-27 20:20:00
"87",2017-03-28 20:15:00,2017-03-28 20:00:00,2017-03-28 21:00:00,2017-03-28 20:00:00,2017-03-28 20:30:00,2017-03-28 20:23:00,2017-03-28 20:40:00,2017-03-28 20:15:00
