"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"71",2017-03-12 17:50:00,2017-03-12 18:55:00,2017-03-12 18:00:00,2017-03-12 19:00:00,2017-03-12 19:55:00,2017-03-12 18:44:00,2017-03-12 19:55:00,2017-03-12 18:40:00
"72",2017-03-13 21:00:00,2017-03-13 20:00:00,2017-03-13 23:00:00,2017-03-13 20:05:00,2017-03-13 20:40:00,2017-03-13 21:01:00,2017-03-13 21:00:00,2017-03-13 19:50:00
"73",2017-03-14 19:10:00,2017-03-14 21:00:00,2017-03-14 21:00:00,2017-03-14 21:00:00,2017-03-14 21:00:00,2017-03-14 20:34:00,2017-03-14 20:40:00,2017-03-14 19:50:00
"74",2017-03-15 21:00:00,2017-03-15 20:00:00,2017-03-15 20:00:00,2017-03-15 20:00:00,2017-03-15 20:05:00,2017-03-15 20:20:00,2017-03-15 20:40:00,2017-03-15 20:10:00
"75",2017-03-16 19:20:00,2017-03-16 20:05:00,2017-03-16 20:55:00,2017-03-16 21:00:00,2017-03-16 21:00:00,2017-03-16 20:24:00,2017-03-16 20:40:00,2017-03-16 19:45:00
"76",2017-03-17 19:20:00,2017-03-17 18:20:00,2017-03-17 19:15:00,2017-03-17 19:20:00,2017-03-17 19:55:00,2017-03-17 19:23:00,2017-03-17 20:40:00,2017-03-17 19:35:00
"77",2017-03-18 20:00:00,2017-03-18 18:25:00,2017-03-18 21:00:00,2017-03-18 20:00:00,2017-03-18 20:05:00,2017-03-18 20:01:00,2017-03-18 20:40:00,2017-03-18 19:25:00
"78",2017-03-19 20:00:00,2017-03-19 19:30:00,2017-03-19 17:30:00,2017-03-19 19:40:00,2017-03-19 19:40:00,2017-03-19 19:19:00,2017-03-19 19:55:00,2017-03-19 19:45:00
"79",2017-03-20 21:00:00,2017-03-20 20:55:00,2017-03-20 21:00:00,2017-03-20 21:00:00,2017-03-20 21:00:00,2017-03-20 20:55:00,2017-03-20 20:40:00,2017-03-20 19:55:00
"80",2017-03-21 20:00:00,2017-03-21 20:05:00,2017-03-21 20:00:00,2017-03-21 21:00:00,2017-03-21 20:05:00,2017-03-21 20:21:00,2017-03-21 20:40:00,2017-03-21 20:15:00
"81",2017-03-22 19:40:00,2017-03-22 19:50:00,2017-03-22 20:25:00,2017-03-22 19:20:00,2017-03-22 20:05:00,2017-03-22 19:59:00,2017-03-22 20:40:00,2017-03-22 20:10:00
"82",2017-03-23 18:50:00,2017-03-23 18:40:00,2017-03-23 18:00:00,2017-03-23 19:35:00,2017-03-23 19:45:00,2017-03-23 19:09:00,2017-03-23 20:40:00,2017-03-23 19:40:00
"83",2017-03-24 20:00:00,2017-03-24 20:00:00,2017-03-24 20:30:00,2017-03-24 19:20:00,2017-03-24 20:30:00,2017-03-24 20:10:00,2017-03-24 21:00:00,2017-03-24 20:15:00
"84",2017-03-25 20:00:00,2017-03-25 18:25:00,2017-03-25 20:05:00,2017-03-25 20:00:00,2017-03-25 20:05:00,2017-03-25 19:50:00,2017-03-25 20:40:00,2017-03-25 19:45:00
"85",2017-03-26 19:50:00,2017-03-26 18:55:00,2017-03-26 18:55:00,2017-03-26 20:05:00,2017-03-26 20:00:00,2017-03-26 19:41:00,2017-03-26 20:40:00,2017-03-26 19:55:00
"86",2017-03-27 20:00:00,2017-03-27 20:00:00,2017-03-27 20:00:00,2017-03-27 20:00:00,2017-03-27 20:05:00,2017-03-27 20:12:00,2017-03-27 21:00:00,2017-03-27 20:20:00
"87",2017-03-28 20:00:00,2017-03-28 20:30:00,2017-03-28 19:25:00,2017-03-28 20:00:00,2017-03-28 20:05:00,2017-03-28 20:07:00,2017-03-28 20:40:00,2017-03-28 20:15:00
"88",2017-03-29 20:00:00,2017-03-29 19:35:00,2017-03-29 20:10:00,2017-03-29 19:35:00,2017-03-29 20:05:00,2017-03-29 20:00:00,2017-03-29 20:40:00,2017-03-29 20:10:00
"89",2017-03-30 20:00:00,2017-03-30 19:45:00,2017-03-30 19:55:00,2017-03-30 20:00:00,2017-03-30 19:55:00,2017-03-30 20:04:00,2017-03-30 20:40:00,2017-03-30 20:00:00
"90",2017-03-31 19:45:00,2017-03-31 20:00:00,2017-03-31 20:00:00,2017-03-31 21:00:00,2017-03-31 21:00:00,2017-03-31 20:21:00,2017-03-31 21:00:00,2017-03-31 20:00:00
"91",2017-04-01 18:35:00,2017-04-01 18:40:00,2017-04-01 20:00:00,2017-04-01 19:00:00,2017-04-01 20:00:00,2017-04-01 19:15:00,2017-04-01 20:00:00,2017-04-01 19:10:00
"92",2017-04-02 20:00:00,2017-04-02 20:00:00,2017-04-02 18:35:00,2017-04-02 21:00:00,2017-04-02 20:00:00,2017-04-02 20:03:00,2017-04-02 20:40:00,2017-04-02 19:50:00
"93",2017-04-03 21:00:00,2017-04-03 12:05:00,2017-04-03 19:55:00,2017-04-03 21:00:00,2017-04-03 21:00:00,2017-04-03 18:56:00,2017-04-03 20:40:00,2017-04-03 20:15:00
"94",2017-04-04 21:00:00,2017-04-04 21:00:00,2017-04-04 22:00:00,2017-04-04 21:00:00,2017-04-04 21:00:00,2017-04-04 21:08:00,2017-04-04 20:40:00,2017-04-04 20:25:00
"95",2017-04-05 22:00:00,2017-04-05 20:00:00,2017-04-05 21:05:00,2017-04-05 19:55:00,2017-04-05 20:40:00,2017-04-05 20:44:00,2017-04-05 20:40:00,2017-04-05 20:20:00
"96",2017-04-06 21:00:00,2017-04-06 20:00:00,2017-04-06 22:00:00,2017-04-06 21:00:00,2017-04-06 21:00:00,2017-04-06 21:00:00,2017-04-06 21:00:00,2017-04-06 20:25:00
"97",2017-04-07 19:45:00,2017-04-07 19:55:00,2017-04-07 21:55:00,2017-04-07 20:00:00,2017-04-07 20:40:00,2017-04-07 20:31:00,2017-04-07 21:00:00,2017-04-07 20:30:00
"98",2017-04-08 20:05:00,2017-04-08 20:05:00,2017-04-08 20:00:00,2017-04-08 20:00:00,2017-04-08 20:05:00,2017-04-08 20:10:00,2017-04-08 20:40:00,2017-04-08 20:25:00
"99",2017-04-09 19:50:00,2017-04-09 21:00:00,2017-04-09 20:00:00,2017-04-09 20:00:00,2017-04-09 20:05:00,2017-04-09 20:18:00,2017-04-09 20:40:00,2017-04-09 20:20:00
"100",2017-04-10 20:00:00,2017-04-10 20:15:00,2017-04-10 21:40:00,2017-04-10 21:00:00,2017-04-10 21:00:00,2017-04-10 20:43:00,2017-04-10 20:40:00,2017-04-10 20:35:00
"101",2017-04-11 19:40:00,2017-04-11 20:00:00,2017-04-11 19:55:00,2017-04-11 20:00:00,2017-04-11 19:55:00,2017-04-11 20:03:00,2017-04-11 20:40:00,2017-04-11 20:30:00
"102",2017-04-12 20:00:00,2017-04-12 20:00:00,2017-04-12 20:10:00,2017-04-12 20:20:00,2017-04-12 20:05:00,2017-04-12 20:14:00,2017-04-12 20:40:00,2017-04-12 20:20:00
"103",2017-04-13 20:25:00,2017-04-13 21:00:00,2017-04-13 19:15:00,2017-04-13 20:10:00,2017-04-13 20:00:00,2017-04-13 20:09:00,2017-04-13 19:55:00,2017-04-13 20:20:00
"104",2017-04-14 19:55:00,2017-04-14 19:15:00,2017-04-14 21:45:00,2017-04-14 20:00:00,2017-04-14 20:30:00,2017-04-14 20:19:00,2017-04-14 20:40:00,2017-04-14 20:15:00
"105",2017-04-15 20:30:00,2017-04-15 19:20:00,2017-04-15 20:00:00,2017-04-15 20:00:00,2017-04-15 20:00:00,2017-04-15 20:06:00,2017-04-15 20:40:00,2017-04-15 20:20:00
"106",2017-04-16 19:40:00,2017-04-16 19:20:00,2017-04-16 19:00:00,2017-04-16 16:55:00,2017-04-16 19:20:00,2017-04-16 18:58:00,2017-04-16 19:55:00,2017-04-16 20:20:00
"107",2017-04-17 20:00:00,2017-04-17 20:10:00,2017-04-17 20:55:00,2017-04-17 20:00:00,2017-04-17 20:40:00,2017-04-17 20:21:00,2017-04-17 20:40:00,2017-04-17 20:35:00
"108",2017-04-18 19:40:00,2017-04-18 19:25:00,2017-04-18 18:00:00,2017-04-18 19:55:00,2017-04-18 20:10:00,2017-04-18 19:26:00,2017-04-18 20:10:00,2017-04-18 15:55:00
"109",2017-04-19 20:00:00,2017-04-19 20:15:00,2017-04-19 21:05:00,2017-04-19 21:00:00,2017-04-19 20:40:00,2017-04-19 20:36:00,2017-04-19 20:40:00,2017-04-19 20:15:00
"110",2017-04-20 15:40:00,2017-04-20 13:00:00,2017-04-20 19:00:00,2017-04-20 15:55:00,2017-04-20 19:35:00,2017-04-20 16:44:00,2017-04-20 20:05:00,2017-04-20 13:30:00
"111",2017-04-21 20:00:00,2017-04-21 20:20:00,2017-04-21 22:00:00,2017-04-21 20:00:00,2017-04-21 20:05:00,2017-04-21 20:36:00,2017-04-21 20:40:00,2017-04-21 20:35:00
"112",2017-04-22 19:55:00,2017-04-22 19:45:00,2017-04-22 23:00:00,2017-04-22 20:20:00,2017-04-22 19:45:00,2017-04-22 20:35:00,2017-04-22 19:55:00,2017-04-22 20:30:00
"113",2017-04-23 20:00:00,2017-04-23 21:00:00,2017-04-23 20:40:00,2017-04-23 20:00:00,2017-04-23 19:55:00,2017-04-23 20:19:00,2017-04-23 19:55:00,2017-04-23 20:10:00
"114",2017-04-24 19:55:00,2017-04-24 12:00:00,2017-04-24 19:55:00,2017-04-24 12:20:00,2017-04-24 19:55:00,2017-04-24 16:58:00,2017-04-24 20:40:00,2017-04-24 20:35:00
"115",2017-04-25 21:00:00,2017-04-25 15:55:00,2017-04-25 19:00:00,2017-04-25 16:00:00,2017-04-25 20:05:00,2017-04-25 18:31:00,2017-04-25 20:40:00,2017-04-25 20:15:00
"116",2017-04-26 16:00:00,2017-04-26 18:55:00,2017-04-26 13:55:00,2017-04-26 15:50:00,2017-04-26 18:55:00,2017-04-26 17:04:00,2017-04-26 20:40:00,2017-04-26 15:35:00
"117",2017-04-27 16:30:00,2017-04-27 20:00:00,2017-04-27 16:00:00,2017-04-27 11:55:00,2017-04-27 20:00:00,2017-04-27 17:01:00,2017-04-27 20:40:00,2017-04-27 15:55:00
"118",2017-04-28 20:05:00,2017-04-28 20:20:00,2017-04-28 21:00:00,2017-04-28 20:10:00,2017-04-28 20:40:00,2017-04-28 20:27:00,2017-04-28 20:40:00,2017-04-28 20:35:00
"119",2017-04-29 19:50:00,2017-04-29 20:15:00,2017-04-29 19:55:00,2017-04-29 21:00:00,2017-04-29 19:55:00,2017-04-29 20:20:00,2017-04-29 20:40:00,2017-04-29 20:50:00
"120",2017-04-30 20:05:00,2017-04-30 19:55:00,2017-04-30 19:45:00,2017-04-30 19:55:00,2017-04-30 20:05:00,2017-04-30 20:04:00,2017-04-30 20:40:00,2017-04-30 20:35:00
"121",2017-05-01 12:40:00,2017-05-01 18:25:00,2017-05-01 17:00:00,2017-05-01 15:00:00,2017-05-01 18:45:00,2017-05-01 16:33:00,2017-05-01 19:40:00,2017-05-01 14:35:00
"122",2017-05-02 22:00:00,2017-05-02 21:00:00,2017-05-02 23:00:00,2017-05-02 21:00:00,2017-05-02 21:00:00,2017-05-02 21:36:00,2017-05-02 21:00:00,2017-05-02 20:40:00
"123",2017-05-03 21:00:00,2017-05-03 22:00:00,2017-05-03 20:25:00,2017-05-03 21:00:00,2017-05-03 20:40:00,2017-05-03 21:01:00,2017-05-03 20:40:00,2017-05-03 20:40:00
"124",2017-05-04 22:00:00,2017-05-04 19:35:00,2017-05-04 12:00:00,2017-05-04 21:00:00,2017-05-04 20:00:00,2017-05-04 19:03:00,2017-05-04 20:40:00,2017-05-04 20:25:00
"125",2017-05-05 20:10:00,2017-05-05 17:55:00,2017-05-05 17:55:00,2017-05-05 21:00:00,2017-05-05 20:00:00,2017-05-05 19:23:00,2017-05-05 19:55:00,2017-05-05 16:45:00
"126",2017-05-06 21:00:00,2017-05-06 20:20:00,2017-05-06 19:35:00,2017-05-06 21:00:00,2017-05-06 20:05:00,2017-05-06 20:31:00,2017-05-06 20:40:00,2017-05-06 21:05:00
"127",2017-05-07 20:00:00,2017-05-07 19:55:00,2017-05-07 21:00:00,2017-05-07 20:25:00,2017-05-07 20:05:00,2017-05-07 20:24:00,2017-05-07 20:40:00,2017-05-07 21:15:00
"128",2017-05-08 22:00:00,2017-05-08 21:00:00,2017-05-08 21:00:00,2017-05-08 21:00:00,2017-05-08 20:40:00,2017-05-08 21:08:00,2017-05-08 20:40:00,2017-05-08 20:50:00
"129",2017-05-09 20:45:00,2017-05-09 20:30:00,2017-05-09 21:00:00,2017-05-09 21:00:00,2017-05-09 20:45:00,2017-05-09 20:40:00,2017-05-09 20:05:00,2017-05-09 20:40:00
